responsavel;cedente;sala;MPIs
ANRF;ANRF;SL. Nº 1507/1;  5
ANRF;LCCS;SL. Nº 1507/1;  1
ASM;AFL;SL. Nº 1506A; 16
ASM;CLC;SL. Nº 1506A;  8
ASP;ASP;SL. Nº 1507/1;  5
ASP;LCCS;SL. Nº 1507/1;  1
CBA;MACGV;SL. Nº 807;  1
CRC;ALIR;SL. Nº 805;  1
DLRO;CBA;SL. Nº 801;  1
DLRO;DHM;SL. Nº 801; 10
DLRO;MPM;SL. Nº 801;  1
DNF;LCCS;SL. Nº 1501/1;  1
DNV;VGRM;SL. Nº 801A; 21
DNV;VGRM;SL. Nº 801C; 13
EAOL;EMA;SL. Nº 101B;419
EMA;AMTO;SL. Nº 101B;  1
FMSC;ASP;SL. Nº 1501/1;  1
FMSC;CLC;SL. Nº 1501/1;  3
FMSC;RVL;SL. Nº 1501/1;  1
FMSC;SFPS;SL. Nº 1501/1;  5
FMSC;WSF;SL. Nº 1501/1;  1
HFCM;ALIR;SL. Nº 803;  1
JVSPM;JVSPM;SL. Nº 801;  1
JVSPM;MPM;SL. Nº 801;  4
KF;ALIR;SL. Nº 1501/1;  1
LCCS;ALIR;SL. Nº 401SS;180
LCCS;ALIR;SL. Nº 402SS;  5
LCCS;ANRF;SL. Nº 402SS;  2
LCCS;ASP;SL. Nº 402SS;  1
LCCS;BSO;SL. Nº 401SS;  1
LCCS;CBA;SL. Nº 401SS;  1
LCCS;CLC;SL. Nº 402SS;  1
LCCS;CRC;SL. Nº 402SS;  1
LCCS;CSMSF;SL. Nº 402SS;  1
LCCS;CSS;SL. Nº 402SS;  1
LCCS;ERMJ;SL. Nº 402SS;  2
LCCS;FLC;SL. Nº 401SS;  2
LCCS;HVM;SL. Nº 401SS;  2
LCCS;HVM;SL. Nº 402SS;  8
LCCS;LAS;SL. Nº 401SS;  1
LCCS;LCCS;SL. Nº 401SS;  2
LCCS;LCCS;SL. Nº 402SS;  1
LCCS;LGSRB;SL. Nº 402SS;  1
LCCS;LSF;SL. Nº 401SS;  1
LCCS;MAB;SL. Nº 402SS;  1
LCCS;MCM;SL. Nº 401SS;  1
LCCS;MCM;SL. Nº 402SS;  1
LCCS;MMLS;SL. Nº 401SS;  1
LCCS;MSBA;SL. Nº 401SS;  1
LCCS;NMB;SL. Nº 402SS;  4
LCCS;ONLFSM;SL. Nº 402SS;  3
LCCS;PCEG;SL. Nº 401SS;  2
LCCS;RCF;SL. Nº 401SS;  1
LCCS;RFM;SL. Nº 402SS;  3
LCCS;VFG;SL. Nº 402SS;  1
LCCS;WSF;SL. Nº 402SS;  1
MAB;RVL;SL. Nº 1501/1; 60
MAB;RVL;SL. Nº 1501A/1; 37
MACGV;CBA;SL. Nº 806;  1
MCM;CSS;ROLL;  1
MCM;DHM;DEPÓSITO DA SEÇÃO DE SERVIÇOS GERAIS - DL; 13
MCM;DHM;ROLL;  6
MCM;DHM;SL. Nº 203;126
MCM;DHM;SL. Nº 204;  9
MCM;LCCS;SL. Nº 805;  1
MCM;VFG;SL. Nº 805;  1
MPM;ALIR;SL. Nº 1804;  2
MPM;CA;SL. Nº 1804;  2
MPM;MPM;SL. Nº 1804;  1
NRF;DLRO;SL. Nº 802;  1
NRF;JVSPM;SL. Nº 802;  6
PCEG;ALIR;SL. Nº 807;  1
PCEG;DNV;SL. Nº 807;  6
PFCF;LCCS;SL. Nº 1802A;  2
PR;LCCS;SL. Nº 801;  1
RFM;DLPL;SL. Nº 1804C; 30
RFM;LBR;SL. Nº 1804C;  4
RFM;MGA;SL. Nº 1804C;  6
RFM;RANB;SL. Nº 1804C;  3
SCMC;LCCS;SL. Nº 806;  1
SFPS;ALIR;SL. Nº 1507/1;  3
SFPS;ASMB;SL. Nº 1507/1;  4
SFPS;CLC;SL. Nº 1507/1; 15
SFPS;LCCS;SL. Nº 1507/1;  1
SFPS;SFPS;SL. Nº 1507/1;  3
TBS;CGB;SL. Nº 1501/1;  5
TBS;TBS;SL. Nº 1501/1;  1
TMFB;ALIR;SL. Nº 1506;  1
VFG;LCCS;SL. Nº 806;  3
WGS;DAO;SL. Nº 1501/1;  3
WGS;DJV;SL. Nº 1501/1;  1
WGS;MAB;SL. Nº 1501/1; 70
WSF;LCCS;SL. Nº 1507/1;  1
WSF;WSF;SL. Nº 1507/1;  5
WTE;ALIR;SL. Nº 803;  1
WTE;LCCS;SL. Nº 803;  1
